연번,행정동,형태,경로당명,전화번호,주소,회원수(남),회원수(여),회원수(총원),경로당설립일
38,광장동,사립,광장현대9차,02-447-2888,"서울특별시 광진구 아차산로69길 19(광장동, 현대9차아파트 경로당)",7,15,22,2000-03-01
39,광장동,사립,광장현대10차,02-453-0898,"서울특별시 광진구 아차산로549 (광장동, 현대파크빌아파트 경로당)",4,16,20,2001-05-01
40,광장동,사립,광장현대11차,02-456-0155,"서울특별시 광진구 아차산로69길 29 (광장동, 현대11차APT 경로당)",6,11,17,2004-08-01
41,광장동,사립,광장현대12차,02-3437-1336,"서울특별시 광진구 천호대로808 (광장동, 현대12차APT 경로당)",9,11,20,2005-05-01
42,광장동,사립,광장삼성,02-452-9611,"서울특별시 광진구 아차산로 544 (광장동, 삼성아파트 경로당)",14,10,24,1994-08-01
43,광장동,사립,광장청구,02-458-1840,"서울특별시 광진구 아차산로 503-23 (광장동, 청구아파트 경로당)",0,25,25,1997-01-01
44,광장동,사립,워커힐,02-444-9214,"서울특별시 광진구 아차산로 635 (한수상가, 워커힐아파트 경로당)",18,21,39,1995-07-01
45,광장동,사립,워커힐푸르지오,,서울특별시 광진구 아차산로78길 10 (광장동 워커힐일신아파트 경로당),15,9,24,1989-06-01
46,광장동,사립,금호,02-3437-6332,"서울특별시 광진구 광나루로579 (광장동, 금호베스트빌아파트 경로당)",17,15,32,2002-05-01
47,광장동,사립,신동아파밀리에,070-4114-8142,"서울특별시 광진구 아차산로 599 (광장동, 신동아파밀리에아파트 경로당)",8,33,41,2007-11-01
48,광장동,사립,유천빌라,,"서울특별시 광진구 광장로 63, (광장동, 유천빌라경로당)",0,0,0,1984-03-01
49,광장동,사립,힐스테이트,,"서울특별시 광진구 아차산로 537-17 (광장동, 광장힐스테이트(아) 경로당)",9,18,27,2016-01-01
50,자양1동,구립,자양1동,02-444-3082,"서울특별시 광진구 아차산로40길 46 (자양동, 자양1동 경로당)",17,22,39,1989-06-01
51,자양1동,구립,중앙,02-454-8491,"서울특별시 광진구 뚝섬로57가길 48-3, 1층(자양동, 중앙경로당)",0,35,35,1998-03-01
52,자양1동,구립,자마장,02-444-5229,"서울특별시 광진구 자양로13길 37 (자양동, 자마장 경로당)",14,21,35,2005-04-01
53,자양1동,사립,래미안시니어클럽 ,02-456-5090,"서울특별시 광진구 아차산로 345, 101동 5층(자양동, 래미안시니어클럽 경로당)",2,25,27,2019-05-01
54,자양1동,구립,청아,02-457-3869,"서울특별시 광진구 자양로19길 70 (자양동, 청아경로당)",0,31,31,1989-06-01
55,자양2동,구립,자양2동제1,02-444-8236,"서울특별시 광진구 뚝섬로56길 28 (자양동, 자양2동 제1경로당)",15,13,28,1995-05-01
56,자양2동,구립,자양2동제2,02-2201-3737,"서울특별시 광진구 뚝섬로62길 17 (자양동, 자양2동 제2경로당)",0,0,0,1993-07-01
57,자양2동,구립,유수지,02-452-6200,"서울특별시 광진구 뚝섬로48길 46 (자양동, 유수지 경로당)",14,19,33,2015-02-01
58,자양2동,사립,자양한양,02-3437-3413,"서울특별시 광진구 구의강변로 11 (자양동, 한양아파트 경로당)",0,0,0,1989-06-01
59,자양2동,사립,자양2현대2차,02-2201-5225,"서울특별시 광진구 뚝섬로56길 72 (자양동, 현대2차아파트 경로당)",7,12,19,1993-08-01
60,자양2동,사립,자양2현대3차,02-3436-5367,"서울특별시 광진구 뚝섬로56길 10 (자양동, 현대3차아파트 경로당)",6,17,23,1995-10-01
61,자양2동,사립,로얄동아,02-458-8074,"서울특별시 광진구 뚝섬로52마길 56 (자양동, 로얄동아아파트 경로당)",1,21,22,1998-03-01
62,자양2동,사립,현대강변,02-446-2762,"서울특별시 광진구 자양로3가길 43 (자양동, 현대강변아파트 경로당)",18,15,33,1998-03-01
63,자양2동,사립,경남아너스빌,02-446-1800,"서울특별시 광진구 자양로3길 49 (자양동, 경남아너스빌아파트 경로당)",10,15,25,1998-04-01
64,자양2동,사립,자양경남,02-2201-6333,"서울특별시 광진구 뚝섬로52길 71 (자양동, 경남아파트 경로당)",0,27,27,1999-09-01
65,자양2동,사립,한솔리베르,02-444-5366,"서울특별시 광진구 뚝섬로56가길 28 (자양동, 한솔리베르아파트 경로당)",13,19,32,2006-05-01
66,자양3동,구립,신양,02-444-9243,"서울특별시 광진구 뚝섬로 543 (자양동, 신양경로당)",12,8,20,1989-06-01
67,자양3동,구립,자양3동,02-455-7270,"서울특별시 광진구 자양번영로3길 16 (자양동, 자양3동 경로당)",15,10,25,1989-06-01
68,자양3동,구립,마실,02-446-5563,"서울특별시 광진구 자양번영로7길 16-9(자양동, 마실 경로당)",7,36,43,2019-04-01
69,자양3동,사립,우성1차,02-456-2864,"서울특별시 광진구 뚝섬로 569 (자양동, 우성1차아파트 경로당)",6,22,28,1989-06-01
70,자양3동,사립,우성2차,02-446-2161,"서울특별시 광진구 뚝섬로 576 (자양동, 우성2차아파트 경로당)",0,20,20,1989-06-01
71,자양3동,사립,우성3차,02-456-3247,"서울특별시 광진구 뚝섬로35길 32 (자양동, 우성3차아파트 경로당)",0,21,21,1990-06-01
72,자양3동,사립,우성7차,02-457-1332,"서울특별시 광진구 아차산로36길 39 (자양동, 우성7차아파트 경로당)",0,15,15,1998-08-01
73,자양3동,사립,자양현대2차,02-444-0178,"서울특별시 광진구 뚝섬로34길 9 (자양동, 자양2차현대아파트 경로당)",33,23,56,2000-03-01
74,자양3동,사립,자양현대8차,02-444-1015,"서울특별시 광진구 뚝섬로36길 19 (자양동, 자양8차현대홈타운 아파트 경로당)",12,10,22,2002-05-01
75,자양3동,사립,자양현대9차,02-3436-4385,"서울특별시 광진구 뚝섬로34길 32 (자양동, 현대9차아파트 경로당)",14,17,31,2002-09-01
76,자양3동,사립,자양현대10차,02-3436-9368,"서울특별시 광진구 뚝섬로34길 25-19 (자양동, 현대10차아파트 경로당)",4,8,12,2003-09-01
77,자양3동,사립,자양삼성,02-453-7394,"서울특별시 광진구 자양번영로3길 65 (자양동, 삼성아파트 경로당)",0,20,20,1999-10-01
78,자양3동,사립,한라,02-446-3229,"서울특별시 광진구 뚝섬로33길 20 (자양동, 한라아파트 경로당)",9,18,27,1997-05-01
79,자양3동,사립,우방리버파크(아),02-2201-1381,"서울특별시 광진구 능동로4길 78 (자양동, 우방리버파크아파트 경로당)",9,12,21,2004-08-01
80,자양3동,사립,이튼타워리버3차,02-461-0520,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차아파트 경로당)",4,50,54,2009-10-01
81,자양3동,사립,이튼타워리버5차,,"서울특별시 광진구 능동로4길 40(자양동, 이튼타워리버5차아파트 경로당)",12,11,23,2023-02-01
82,자양3동,사립,더샵스타시티,02-2024-7125,"서울특별시 광진구 아차산로 262 (자양동, 더샵스타시티아파트 경로당)",0,0,0,2008-01-01
83,자양4동,구립,자양4동 제1,,"서울특별시 광진구 동일로16길 17-9 (자양동, 자양4동 제1경로당)",17,17,34,2021-06-01
84,자양4동,구립,자양4동 제2,02-468-0695,"서울특별시 광진구 동일로2길 17 (자양동, 자양4동제2경로당)",17,20,37,1994-06-01
85,자양4동,구립 ,자양4동 제4,02-466-4869,"서울특별시 광진구 뚝섬로30가길 18 (자양동, 자양4동 제4경로당)",12,33,45,2000-01-01
86,자양4동,구립,노유산,02-462-3551,"서울특별시 광진구 동일로10가길 15-2(자양동, 노유산경로당)",17,18,35,1989-06-01
87,자양4동,사립,대동,02-498-5573,"서울특별시 광진구 뚝섬로31길 11 (자양동, 대동아파트 경로당)",2,22,24,1999-05-01
88,자양4동,사립 ,꿈에그린,02-463-8234,"서울특별시 광진구 뚝섬로24길 74, (자양동, 한화꿈에그린아파트 경로당)",4,24,28,2008-02-01
89,자양4동,사립,한강우성,02-464-9501,"서울특별시 광진구 능동로1길 15 (자양동, 한강우성아파트 경로당)",8,20,28,1995-02-01
90,화양동,구립,화양동,02-462-2669,"서울특별시 광진구 능동로17길 39 (화양동, 화양동경로당)",0,21,21,1989-06-01
91,화양동,구립,모진동,02-454-3545,"서울특별시 광진구 광나루로24길 53 (화양동, 모진동경로당)",14,9,23,1995-05-01
92,화양동,사립,화양동 현대,02-499-5599,"서울특별시 광진구 동일로24길 5 (화양동, 현대아파트 경로당)",8,14,22,2002-10-01
93,군자동,구립,군자,02-499-2920,"서울특별시 광진구 동일로52길 27 (군자동, 군자경로당)",43,12,55,1994-06-01
94,군자동,구립,양마,02-466-9838,"서울특별시 광진구 동일로42길 2 (군자동, 양마경로당)",9,30,39,1989-06-01
95,군자동,구립,양마제2,02-461-2719,"서울특별시 광진구 군자로13길 35 (군자동, 양마제2 경로당)",40,0,40,2007-05-01
96,군자동,구립,복조리,02-464-1123,"서울특별시 광진구 광나루로17길 28 102호 (군자동, 복조리경로당)",19,22,41,2022-09-01
97,군자동,사립,일성파크,02-465-5897,"서울특별시 광진구 군자로12길 46 (군자동, 일성파크아파트 경로당)",17,38,55,1996-11-01
